cohort_date,horizon,cohort_users,eligible_users,returned_users,return_rate
2022-04-08,1,885,885,863,0.9751412429378531
2022-04-08,7,885,885,841,0.9502824858757062
2022-04-09,1,38,38,29,0.7631578947368421
2022-04-09,7,38,38,34,0.8947368421052632
2022-04-10,1,16,16,8,0.5
2022-04-10,7,16,16,13,0.8125
2022-04-11,1,9,9,7,0.7777777777777778
2022-04-11,7,9,9,6,0.6666666666666666
2022-04-12,1,2,2,2,1.0
2022-04-12,7,2,2,1,0.5
2022-04-13,1,4,4,4,1.0
2022-04-13,7,4,4,4,1.0
2022-04-14,1,3,3,3,1.0
2022-04-14,7,3,3,2,0.6666666666666666
2022-04-15,1,9,9,7,0.7777777777777778
2022-04-15,7,9,9,7,0.7777777777777778
2022-04-16,1,5,5,5,1.0
2022-04-16,7,5,5,4,0.8
2022-04-17,1,3,3,3,1.0
2022-04-17,7,3,3,3,1.0
2022-04-18,1,5,5,5,1.0
2022-04-18,7,5,5,3,0.6
2022-04-19,1,3,3,3,1.0
2022-04-19,7,3,3,3,1.0
2022-04-21,1,1,1,1,1.0
2022-04-21,7,1,1,1,1.0
2022-04-22,1,3,3,3,1.0
2022-04-22,7,3,3,1,0.3333333333333333
2022-04-23,1,1,1,0,0.0
2022-04-23,7,1,1,0,0.0
2022-04-24,1,1,1,1,1.0
2022-04-24,7,1,1,1,1.0
2022-04-25,1,1,1,0,0.0
2022-04-25,7,1,1,1,1.0
2022-04-26,1,1,1,1,1.0
2022-04-26,7,1,1,1,1.0
2022-04-29,1,3,3,3,1.0
2022-04-29,7,3,3,1,0.3333333333333333
2022-04-30,1,1,1,1,1.0
2022-04-30,7,1,1,1,1.0
2022-05-01,1,1,1,1,1.0
2022-05-01,7,1,1,1,1.0
2022-05-02,1,3,3,3,1.0
2022-05-02,7,3,0,0,
2022-05-03,1,1,1,1,1.0
2022-05-03,7,1,0,0,
2022-05-05,1,1,1,0,0.0
2022-05-05,7,1,0,0,
