event_date,exposures,active_users,watch_hours,capped_watch_hours,seconds_per_exposure,exposures_per_user,long_view_rate,completion_rate,replay_or_extended_rate
2022-04-08,325349,885,1456.0985811111036,1326.7508072222438,16.11179039124132,367.62598870056496,0.2753443225582375,0.16209055506548353,0.1620751869530873
2022-04-09,358148,901,1611.9465580555532,1474.5587383333736,16.202820088343344,397.5005549389567,0.2828579246568458,0.16424774115728694,0.16422261188112178
2022-04-10,367467,898,1624.710432222227,1492.5164486111412,15.916960042670544,409.20601336302894,0.2760166219007421,0.15985381000198656,0.159829318006787
2022-04-11,337450,870,1455.0872936111084,1329.2119655555805,15.523230869758454,387.8735632183908,0.26707067713735366,0.15564972588531634,0.15563787227737444
2022-04-12,315164,849,1343.9317011111043,1228.2740200000133,15.351227056389613,371.21790341578327,0.26120051782563997,0.1529267302103032,0.15289817364927466
2022-04-13,314820,848,1370.3144452777806,1246.3397875000219,15.669690626389714,371.25,0.26770853185947524,0.15613684009910425,0.15611142875293818
2022-04-14,299867,860,1347.5953844444427,1227.0283544444583,16.178317000536886,348.6825581395349,0.2776130751299743,0.16617700513894493,0.1661536614565791
2022-04-15,331847,899,1428.5661030555655,1300.094413333359,15.497617790728967,369.1290322580645,0.27506953505681836,0.16664004797391568,0.16663100766317007
2022-04-16,351511,921,1664.3366233333427,1526.5725530556024,17.045303970572853,381.66232356134634,0.30288099092204795,0.1792746172950491,0.1792632378503091
2022-04-17,358644,908,1645.743949166659,1509.0353172222567,16.519663557734056,394.98237885462555,0.2887041188476595,0.16990943665584815,0.16988991869374645
2022-04-18,305487,869,1308.2546072222378,1190.0669627778016,15.4170769492648,351.5385500575374,0.2720803176567252,0.16472059367501726,0.16469440598126925
2022-04-19,312605,868,1341.4052252777751,1214.3863033333564,15.447797735160956,360.14400921658984,0.2711344988084004,0.16655843636538123,0.16653924281441435
2022-04-20,313494,869,1343.8488094444558,1219.7813844444759,15.43205201375478,360.7525891829689,0.27476761915698544,0.17030628975355191,0.17028077092384544
2022-04-21,320310,868,1355.4742038888958,1226.7338275000204,15.234326539914536,369.02073732718895,0.2695638600106147,0.16606100340295338,0.16604539352502262
2022-04-22,339021,919,1442.3231886111332,1310.1159622222597,15.315757663979753,368.9020674646355,0.26999212438167547,0.1641904188826061,0.16417272086389928
2022-04-23,383279,936,1650.219476944439,1500.658337777814,15.499910292502278,409.4861111111111,0.27962137242061263,0.1696257817412381,0.16959708202119084
2022-04-24,319943,891,1377.193423888889,1247.5400188889093,15.49618627693058,359.0830527497194,0.2695198832292002,0.16339785524296516,0.16337910190252639
2022-04-25,314508,877,1371.4373244444535,1237.9272480555812,15.698088341155177,358.618015963512,0.27920752413293143,0.17264425706182354,0.17263471835374616
2022-04-26,323409,881,1399.8988997222264,1265.3199538889155,15.582856503684235,367.09307604994325,0.27686922751067533,0.1715876799965369,0.17157531175693935
2022-04-27,320190,883,1398.6998308333284,1266.646378888917,15.72603576314058,362.6160815402038,0.27475873699990633,0.16929635528904713,0.16928386270651802
2022-04-28,317348,886,1403.3101452777792,1274.0465402778013,15.9191692495305,358.1805869074492,0.2739516240846011,0.16803320014621173,0.16801114234216066
2022-04-29,357656,940,1500.4141811111222,1361.5479380555844,15.102475708502137,380.4851063829787,0.2650955107701255,0.16146241080815085,0.16144563491175878
2022-04-30,392981,941,1703.9693419444568,1555.2505277778198,15.609634132439087,417.62061636556854,0.28040541400220365,0.16840508828671105,0.16838727572070913
2022-05-01,399279,947,1745.3074066666575,1593.807008888925,15.736131036192656,421.62513199577614,0.27819644909950186,0.16738671455298174,0.16737168746665865
2022-05-02,384901,955,1647.2961861111219,1503.2533980555952,15.40725087749847,403.0376963350785,0.2722440315821471,0.16427860670665964,0.16425782214127788
2022-05-03,393879,947,1644.7969475000098,1499.6648816667107,15.03321835132118,415.92291446673704,0.26771673534257984,0.16367716989227657,0.16365178138463843
2022-05-04,372167,946,1605.9824513889,1457.346900000044,15.534791706411477,393.41120507399575,0.27370508400798566,0.16658650552037124,0.16656232282819272
2022-05-05,353059,911,1479.8493824999873,1341.520234444468,15.089426348004029,387.5510428100988,0.2644770420807854,0.1634457696872194,0.16343160774828003
2022-05-06,366281,902,1530.30125555557,1383.0594997222577,15.040595935907273,406.07649667405764,0.26332242185644356,0.1626073970530822,0.16259374633136853
2022-05-07,356827,940,1543.6598419444472,1402.6412544444868,15.57386473276969,379.6031914893617,0.2718516255776609,0.1656573073225961,0.16562928253747614
2022-05-08,377014,940,1642.61571361111,1505.0307375000352,15.684872628072158,401.0787234042553,0.2707406091020493,0.16150063392871353,0.16147941455754958
