tab,exposures,mismatches,recorded_rate,derived_rate
0,2097468,1606,0.04237728537455637,0.04161160027232835
1,7187280,46664,0.3314881290279494,0.3250008348081611
2,375307,2336,0.32289032711886534,0.31666608936150936
3,35466,6,0.004173010770879152,0.004003834658546214
4,872383,5184,0.43623041714476324,0.4302880730138024
5,8842,17,0.11581090251074418,0.11388826057453065
6,96308,149,0.09014827428666362,0.08860115462889895
7,3742,0,0.3156066274719401,0.3156066274719401
8,17430,0,0.018129661503155477,0.018129661503155477
9,1911,0,0.32339089481946626,0.32339089481946626
10,952,0,0.6596638655462185,0.6596638655462185
11,17062,13,0.04718086976907748,0.04641894267963896
12,11007,0,0.08839829199600255,0.08839829199600255
13,17,0,0.17647058823529413,0.17647058823529413
14,447,0,0.4697986577181208,0.4697986577181208
